Bank information,,,,,,,Mandatory criteria,,,,,,,,,,,,,Additional capabilities (non-mandatory for certification),,,,,,,,,,,,,,,,,,,,,,,,,
BIC of the mother organisation,BIC8 (branch BIC),Name of the mother organisation,Name of BIC8 (Branch Name),Country,Country code,Certification,SCORE,Credit Transfers (MT101),Payments pain.001 ISO 20022 (advanced certification only),Cash Reporting (MT940),MT 942 (advanced certification only),Cash Management camt.053 ISO 20022 (advanced certification only),File Act (RT or S&F),Testing,Onboarding guide,Support,Staff trained,Documentation,Contact email,gpi,,Treasury (MT),,Cash Management (MT),,Trade MT798,,,,Trade FA,Payments (ISO20022),,Cash Management (ISO20022),,,eStatements (PDF),Bank Account Management (ISO20022),CGI-MP guidelines,3SKey,,MyStandards,,TSU / BPO,Staff certified,Hyperlink to bank's webpage
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Czech Republic,CZ,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Denmark,DK,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Egypt,EG,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Estonia,EE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASAU2X,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Fiji,FJ,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Finland,FI,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASFRPP,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",France,FR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,MGTCZAJJ,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Ghana,GH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Greece,GR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Hungary,HU,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Iceland,IS,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASINBX,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",India,IN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASIDJX,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Indonesia,ID,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Israel,IL,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASITMX,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Italy,IT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASJPJT,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Japan,JP,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Kazakhstan,KZ,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,MGTCZAJJ,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Kenya,KE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Kuwait,KW,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Latvia,LV,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Lithuania,LT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Luxembourg,LU,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Malta,MT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Morocco,MA,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASNL2X,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Netherlands,NL,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Oman,OM,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASAU2X,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Papua New Guinea,PG,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Peru,PE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASPHMM,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Philippines,PH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Poland,PL,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Portugal,PT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Qatar,QA,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Romania,RO,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Republic of Serbia,RS,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASSGSG,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Singapore,SG,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Slovakia,SK,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Slovenia,SI,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASESM3,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Spain,ES,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Sweden,SE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASTWTX,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Taiwan,TW,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,MGTCZAJJ,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Tanzania,TZ,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Tunisia,TN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Turkey,TR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,MGTCZAJJ,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Uganda,UG,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",United Arab Emirates,AE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",United Kingdom,GB,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASUS33,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",United States,US,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASVNVX,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Vietnam,VN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,MGTCZAJJ,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Zambia,ZM,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASKRSX,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Korea,KR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASTHBX,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Thailand,TH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASHKHH,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Hong Kong,HK,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASCN22,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",China,CN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Russia,RU,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Norway,NO,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CIBBMYKL,CIBBMYKL,CIMB BANK BERHAD,CIMB BANK BERHAD,Malaysia,MY,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,http://www.cimbbank.com.my/swiftforcorporates/
CIBBMYKL,CIBBMY2L,CIMB BANK BERHAD,CIMB BANK BERHAD,Malaysia,MY,advanced,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,http://www.cimbbank.com.my/en/business/products/cash-management/delivery-channels/Swift-for-corporates.html
CIBKCNBJ,CIBKCNBJ,CHINA CITIC BANK,CHINA CITIC BANK,China,CN,advanced,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,http://bank.ecitic.com/public/international/trade_e2.html
CINAUS6L,CINAUS6L,City National Bank,City National Bank,United States,US,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,ricardo.sotomayor@cnb.com,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.cnb.com/index.asp
CITIUS33,BACUSVSS,CITIBANK N.A.,BANCO CITIBANK DE EL SALVADOR S.A.,El Salvador,SV,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,rene.schuurman@citi.com,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,https://www.citibank.com/tts/solutions/channel_services/index.html
CITIUS33,BNMXMXMM,CITIBANK N.A.,BANCO NACIONAL DE MEXICO S.A.,Mexico,MX,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,rene.schuurman@citi.com,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,https://www.citibank.com/tts/solutions/channel_services/index.html
CITIUS33,CITIPLPX,CITIBANK N.A.,"BANK HANDLOWY W, WARSZAWIE SA",Poland,PL,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,rene.schuurman@citi.com,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,https://www.citibank.com/tts/solutions/channel_services/index.html
CITIUS33,CITICNSX,CITIBANK N.A.,"CITIBANK (CHINA) CO., LTD.",China,CN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,rene.schuurman@citi.com,no,no,no,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,https://www.citibank.com/tts/solutions/channel_services/index.html
CITIUS33,CITITRIX,CITIBANK N.A.,CITIBANK A.S.,Turkey,TR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,rene.schuurman@citi.com,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,https://www.citibank.com/tts/solutions/channel_services/index.html
CITIUS33,CITILBBE,CITIBANK N.A.,CITIBANK BEIRUT,Lebanon,LB,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,rene.schuurman@citi.com,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,https://www.citibank.com/tts/solutions/channel_services/index.html
CITIUS33,CITIMYKL,CITIBANK N.A.,CITIBANK BERHAD,Malaysia,MY,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,rene.schuurman@citi.com,no,no,no,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,https://www.citibank.com/tts/solutions/channel_services/index.html
CITIUS33,CITIJESX,CITIBANK N.A.,CITIBANK C.I.  LIMITED,Jersey,JE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,rene.schuurman@citi.com,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,https://www.citibank.com/tts/solutions/channel_services/index.html
